age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
29,admin.,single,secondary,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no
30,admin.,single,secondary,no,818,yes,yes,cellular,16,apr,66,1,346,1,failure,no
36,self-employed,single,tertiary,no,353,no,no,cellular,11,aug,361,2,181,2,success,yes
35,services,divorced,secondary,no,440,yes,no,cellular,5,feb,103,1,248,1,failure,no
60,technician,married,secondary,no,1139,no,no,cellular,6,feb,67,2,207,2,failure,no
43,admin.,single,secondary,no,6,no,no,cellular,4,feb,58,1,264,1,failure,no
35,unemployed,married,secondary,no,978,no,no,cellular,29,dec,1370,3,209,3,success,yes
34,management,married,tertiary,no,63,no,no,cellular,18,nov,83,1,102,2,failure,no
37,admin.,married,secondary,no,1314,yes,no,cellular,8,may,682,2,85,7,success,no
35,management,single,tertiary,no,2576,yes,yes,cellular,6,may,136,3,273,4,failure,no
34,admin.,married,tertiary,no,10,no,no,cellular,21,aug,90,1,91,1,failure,no
45,blue-collar,married,secondary,no,392,yes,no,cellular,21,nov,391,2,127,2,failure,no
36,blue-collar,married,secondary,no,325,no,no,cellular,14,apr,119,2,337,2,failure,no
45,admin.,married,secondary,no,251,yes,no,cellular,5,may,304,2,259,2,failure,no
26,admin.,single,tertiary,no,760,yes,no,cellular,6,sep,164,2,186,7,success,no
44,entrepreneur,married,tertiary,no,121,no,no,cellular,9,nov,248,1,91,1,success,yes
46,blue-collar,married,secondary,no,431,yes,no,cellular,14,may,157,4,367,1,failure,no
44,management,married,secondary,no,8262,yes,no,cellular,6,apr,150,1,257,16,failure,no
31,technician,single,tertiary,no,1109,no,no,cellular,5,feb,642,1,167,2,failure,yes
34,blue-collar,married,primary,no,2720,yes,no,cellular,21,nov,147,2,179,3,failure,no
31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,568,1,341,7,failure,yes
40,blue-collar,married,primary,no,34,yes,no,cellular,6,may,350,2,344,1,failure,no
29,blue-collar,married,secondary,no,1958,yes,no,cellular,18,may,112,4,349,1,failure,no
45,services,married,primary,no,-79,yes,no,cellular,20,apr,59,4,348,2,failure,no
33,technician,single,tertiary,no,127,yes,no,cellular,6,apr,583,2,222,17,failure,yes
53,blue-collar,married,secondary,no,6112,no,no,cellular,30,apr,211,1,86,1,success,no
37,admin.,single,tertiary,no,3954,yes,no,cellular,17,apr,238,1,331,1,failure,no
49,entrepreneur,divorced,tertiary,no,1342,yes,yes,cellular,7,apr,253,1,140,1,failure,no
32,admin.,married,secondary,no,393,yes,no,cellular,9,apr,236,1,330,1,failure,no
36,management,single,tertiary,no,436,no,no,cellular,13,apr,567,1,595,2,failure,yes
37,blue-collar,single,secondary,no,90,yes,no,cellular,17,apr,416,1,340,5,failure,no
43,management,married,tertiary,no,1188,no,no,cellular,13,oct,1573,2,139,2,failure,no
55,management,divorced,tertiary,no,7010,no,no,cellular,22,sep,155,1,195,2,failure,no
32,blue-collar,married,primary,no,-454,yes,yes,cellular,18,may,801,5,355,2,failure,yes
32,services,married,secondary,no,414,yes,no,cellular,3,feb,236,2,272,1,failure,no
31,management,married,tertiary,no,1812,no,no,cellular,4,nov,138,1,84,2,failure,no
25,student,single,tertiary,no,1189,no,no,cellular,3,dec,110,1,183,1,success,no
37,blue-collar,divorced,secondary,no,638,yes,no,cellular,8,may,326,1,326,2,success,no
40,self-employed,married,tertiary,no,271,yes,no,cellular,21,nov,124,3,102,4,failure,no
27,technician,single,tertiary,no,2781,yes,no,cellular,24,may,168,1,389,1,failure,yes
34,services,divorced,secondary,no,797,yes,no,cellular,20,nov,88,1,126,1,failure,no
37,services,married,secondary,no,343,yes,yes,cellular,7,may,104,1,304,7,failure,no
41,technician,married,tertiary,no,816,yes,yes,cellular,13,apr,520,2,319,1,failure,no
34,blue-collar,married,secondary,no,463,yes,no,cellular,18,may,11,11,360,4,failure,no
59,retired,married,tertiary,no,1425,no,no,cellular,10,aug,489,2,102,1,success,no
30,blue-collar,single,secondary,yes,447,no,no,cellular,19,nov,426,2,189,6,failure,no
52,technician,married,secondary,no,279,no,yes,cellular,2,feb,72,1,203,3,failure,no
33,management,single,tertiary,no,417,yes,no,cellular,4,may,170,2,87,1,failure,no
37,blue-collar,divorced,secondary,no,33,yes,no,cellular,20,nov,106,2,167,1,failure,no
26,management,divorced,tertiary,yes,-402,no,yes,cellular,29,jan,66,2,262,2,failure,no
43,blue-collar,married,primary,no,-25,yes,no,cellular,12,may,254,4,365,2,failure,no
39,blue-collar,single,secondary,no,522,yes,no,telephone,14,may,225,7,350,2,failure,no
49,blue-collar,married,primary,no,490,yes,no,telephone,18,may,19,5,364,2,failure,no
34,admin.,single,tertiary,no,18,yes,yes,cellular,27,oct,114,1,180,1,success,no
35,services,married,secondary,no,457,yes,no,cellular,17,apr,69,1,322,2,failure,no
76,retired,married,tertiary,no,0,no,no,telephone,4,feb,92,3,169,1,failure,no
31,technician,single,secondary,no,1447,yes,no,cellular,18,may,236,3,178,15,failure,no
52,blue-collar,married,tertiary,no,297,yes,no,cellular,18,nov,62,2,195,1,failure,no
31,blue-collar,married,primary,no,-199,yes,yes,telephone,12,may,149,5,299,10,failure,no
43,self-employed,married,secondary,no,5564,no,no,cellular,20,apr,45,5,154,2,failure,no
47,housemaid,married,tertiary,no,228,yes,no,cellular,17,nov,80,1,118,1,failure,no
36,management,divorced,tertiary,no,649,no,no,cellular,16,jul,237,2,91,1,failure,no
35,admin.,single,secondary,no,-32,no,yes,cellular,9,feb,63,4,182,5,failure,yes
68,retired,married,primary,no,7945,no,no,cellular,27,apr,252,1,181,1,failure,no
33,blue-collar,single,secondary,no,15341,no,no,cellular,20,apr,335,1,334,3,failure,no
54,management,divorced,tertiary,no,5475,no,no,cellular,21,oct,1032,1,91,4,success,yes
83,retired,divorced,primary,no,0,no,no,telephone,31,may,664,1,77,3,success,no
60,services,married,secondary,no,292,no,yes,cellular,2,feb,260,5,195,4,failure,no
33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure,no
60,technician,married,secondary,no,478,no,no,cellular,29,jan,139,1,171,5,failure,no
36,services,married,secondary,no,1053,yes,no,telephone,30,jan,99,1,259,1,failure,no
39,technician,married,secondary,no,381,yes,no,cellular,11,may,758,1,347,2,failure,no
62,blue-collar,married,secondary,no,272,no,no,cellular,11,nov,289,1,92,3,success,yes
35,unemployed,single,tertiary,no,415,no,no,cellular,4,feb,649,1,176,1,failure,yes
46,technician,married,secondary,no,3434,no,yes,cellular,8,jun,148,2,101,1,success,yes
42,blue-collar,married,secondary,no,-256,yes,no,cellular,17,apr,576,1,318,2,failure,no
27,student,single,secondary,no,268,yes,no,cellular,13,may,528,1,358,2,failure,no
30,technician,single,secondary,no,156,yes,no,cellular,25,may,157,4,363,5,failure,no
38,admin.,divorced,secondary,no,407,yes,yes,cellular,18,feb,146,1,183,1,failure,no
41,unemployed,married,primary,no,557,yes,no,cellular,17,nov,158,1,173,1,failure,no
29,technician,single,secondary,no,-219,yes,no,cellular,15,may,85,3,368,2,failure,no
45,entrepreneur,divorced,tertiary,no,1273,yes,yes,cellular,20,nov,206,2,162,3,failure,no
32,unemployed,married,secondary,no,314,yes,no,cellular,11,may,18,6,172,10,success,no
27,management,single,tertiary,no,948,yes,no,cellular,12,mar,121,2,207,1,failure,no
34,technician,married,secondary,no,260,yes,no,cellular,17,apr,20,2,238,2,failure,no
29,blue-collar,single,secondary,no,43,no,no,cellular,7,may,142,1,353,1,failure,no
51,housemaid,divorced,primary,no,94,yes,no,cellular,15,may,77,1,297,4,failure,no
32,technician,married,tertiary,no,4089,no,no,cellular,26,may,114,7,287,3,failure,no
31,management,single,tertiary,no,5691,yes,no,cellular,21,nov,37,2,123,1,failure,no
32,admin.,single,tertiary,no,1583,yes,no,cellular,19,nov,100,1,182,1,failure,no
38,technician,married,secondary,no,318,no,no,cellular,4,feb,383,1,181,5,failure,yes
53,admin.,married,secondary,no,-375,yes,no,cellular,30,jan,103,1,252,1,failure,no
48,management,married,tertiary,no,0,yes,no,cellular,6,sep,194,2,125,6,failure,yes
42,blue-collar,married,secondary,no,366,yes,no,cellular,22,may,324,1,106,1,failure,yes
48,management,married,tertiary,no,0,yes,no,cellular,4,may,85,1,61,5,failure,no
45,blue-collar,married,secondary,no,146,yes,yes,cellular,6,apr,294,1,305,15,failure,no
52,blue-collar,married,secondary,no,8180,yes,no,cellular,13,apr,81,1,144,1,failure,no
28,admin.,single,secondary,no,392,yes,yes,cellular,4,feb,214,2,259,2,failure,no
62,retired,married,secondary,no,3114,no,no,cellular,18,may,243,2,186,1,success,yes
27,self-employed,single,tertiary,no,168,no,no,cellular,12,nov,123,1,196,1,success,yes
58,blue-collar,married,secondary,no,6004,yes,no,cellular,13,may,133,1,274,6,failure,no
53,self-employed,married,secondary,no,1066,yes,no,cellular,7,may,57,2,170,4,failure,no
52,technician,married,secondary,no,195,yes,no,cellular,18,feb,220,1,63,5,failure,yes
58,blue-collar,married,secondary,no,8195,yes,no,cellular,16,apr,104,1,332,2,failure,no
54,technician,married,secondary,no,65,no,no,cellular,24,feb,87,1,91,3,failure,no
32,blue-collar,married,secondary,no,-446,no,no,cellular,13,may,126,2,344,1,failure,no
46,blue-collar,married,secondary,no,6879,no,no,cellular,15,nov,74,2,118,3,failure,no
32,blue-collar,single,secondary,no,2696,yes,no,cellular,8,may,238,6,169,3,failure,no
31,technician,single,tertiary,no,882,no,no,cellular,4,sep,293,1,93,1,success,yes
34,blue-collar,married,primary,no,392,yes,no,cellular,18,may,180,3,360,1,failure,no
44,blue-collar,married,primary,no,-93,yes,no,cellular,17,apr,829,3,326,2,failure,no
36,admin.,married,secondary,no,2278,yes,no,cellular,15,may,200,3,298,1,failure,no
73,retired,married,primary,no,1388,no,no,telephone,11,jan,767,2,83,1,success,yes
29,technician,married,secondary,no,1180,yes,no,cellular,17,apr,367,3,323,3,failure,yes
37,technician,married,secondary,no,-254,yes,yes,cellular,6,feb,121,3,254,2,failure,no
59,unemployed,married,secondary,no,1047,no,no,cellular,21,aug,438,1,184,3,success,yes
63,blue-collar,married,secondary,no,180,no,no,cellular,15,jul,390,2,182,5,success,yes
49,blue-collar,married,primary,no,584,yes,no,telephone,14,may,167,6,365,1,failure,no
31,admin.,single,secondary,no,554,yes,no,cellular,25,may,97,3,103,2,failure,no
54,admin.,married,secondary,no,426,yes,no,cellular,17,apr,74,2,323,1,failure,no
51,entrepreneur,married,secondary,no,0,yes,no,cellular,7,may,158,1,300,2,failure,no
59,technician,married,secondary,no,1,no,no,cellular,15,apr,159,2,378,3,failure,yes
42,services,married,secondary,no,108,yes,yes,cellular,13,may,225,2,365,7,failure,no
29,services,married,secondary,no,399,no,no,cellular,18,dec,454,6,199,1,failure,no
44,management,married,tertiary,no,423,no,no,cellular,3,jun,136,6,83,5,success,no
28,management,single,tertiary,no,12956,yes,no,cellular,2,jul,940,1,399,3,success,yes
33,management,married,tertiary,no,22867,yes,no,cellular,10,aug,73,1,440,2,failure,no
32,technician,married,secondary,no,4,no,no,cellular,4,feb,145,2,260,4,failure,no
42,technician,married,secondary,no,994,yes,no,cellular,11,aug,149,1,78,5,failure,yes
43,management,married,tertiary,no,13044,no,no,cellular,19,nov,215,1,93,4,failure,no
43,blue-collar,married,secondary,no,314,yes,yes,cellular,20,apr,247,3,339,2,failure,no
39,blue-collar,single,primary,no,581,yes,no,cellular,7,apr,620,1,39,2,success,no
30,entrepreneur,single,tertiary,no,303,yes,no,cellular,14,may,176,2,365,4,failure,no
41,management,divorced,tertiary,no,3426,no,no,cellular,4,jun,102,2,297,3,failure,yes
43,management,married,tertiary,no,3518,no,no,cellular,28,dec,206,2,196,2,success,yes
62,retired,married,secondary,no,243,no,no,cellular,25,jan,117,1,280,1,success,no
41,management,married,tertiary,no,27696,no,no,cellular,12,aug,147,2,104,1,failure,yes
35,technician,married,secondary,no,1577,yes,yes,cellular,17,aug,80,1,273,1,failure,no
30,blue-collar,married,primary,no,1101,yes,yes,cellular,2,jul,590,1,225,3,failure,no
35,management,married,tertiary,no,611,no,no,cellular,1,oct,305,2,121,1,success,yes
35,technician,married,secondary,no,-255,yes,no,cellular,13,may,196,3,265,2,failure,no
37,management,married,tertiary,no,59,yes,yes,telephone,2,feb,319,1,213,1,failure,no
69,retired,married,primary,no,324,no,no,cellular,12,aug,875,1,189,4,success,no
34,technician,single,secondary,no,440,yes,no,cellular,6,may,445,2,345,2,failure,no
58,blue-collar,married,primary,no,5431,yes,yes,cellular,15,may,327,3,374,1,failure,no
43,blue-collar,married,secondary,no,1109,yes,no,cellular,2,feb,115,3,264,2,failure,no
68,retired,single,tertiary,no,2144,no,no,cellular,26,jan,708,1,96,3,success,yes
59,services,married,secondary,no,0,yes,no,telephone,11,may,437,2,361,5,failure,no
48,blue-collar,married,secondary,no,1230,yes,no,cellular,12,nov,169,1,196,2,success,yes
46,management,married,tertiary,no,740,yes,no,cellular,8,may,462,1,359,2,failure,no
30,management,married,tertiary,no,900,no,no,cellular,18,nov,123,1,124,2,failure,no
45,management,married,tertiary,no,226,yes,no,cellular,13,aug,177,6,179,10,success,yes
54,retired,married,secondary,no,1004,yes,no,cellular,1,apr,479,1,307,1,failure,no
40,management,single,tertiary,no,257,no,no,cellular,1,feb,147,1,209,1,failure,no
31,management,single,tertiary,no,59,yes,yes,cellular,6,may,1347,2,363,1,failure,yes
77,retired,married,secondary,no,4112,no,no,telephone,29,jul,426,1,184,3,success,yes
41,admin.,married,secondary,no,3126,yes,no,cellular,29,jun,222,1,91,7,failure,yes
29,admin.,married,tertiary,no,238,no,no,cellular,11,aug,97,1,78,3,success,no
